N,P,K,temperature,humidity,ph,rainfall,label
22.25,12.05,20.22,22.43,92.81,7.23,101.78,orange
17.92,16.15,44.87,20.57,86.01,6.3,107.4,pomegranate
21.66,60.52,23.39,18.51,19.91,5.42,131.02,kidneybeans
101.48,17.38,48.74,22.83,87.11,6.69,53.41,watermelon
36.12,41.99,19.5,26.01,86.58,6.33,41.36,mungbean
43.41,70.22,19.06,26.92,62.28,6.94,61.95,blackgram
87.49,37.72,41.58,25.18,88.64,6.47,254.14,rice
76.64,24.07,28.04,25.73,86.48,6.14,139.9,rice
115.61,36.33,44.3,23.51,91.11,6.22,83.91,cotton
110.66,48.74,50.45,26.03,73.34,6.61,86.44,cotton
19.96,62.13,23.13,26.44,43.21,5.89,155.78,pigeonpeas
22.62,12.61,13.98,20.8,87.16,6.49,129.51,orange
32.12,66.16,11.46,25.99,70.44,6.8,81.09,blackgram
26.76,80.04,14.73,22.51,75.88,7.0,42.79,lentil
115.4,76.54,58.41,30.55,75.75,5.92,112.77,banana
26.56,25.79,30.93,32.15,45.56,5.88,100.49,mango
78.02,56.6,43.56,22.07,64.38,6.2,142.97,maize
14.57,143.56,164.76,20.24,92.09,5.48,103.96,apple
15.69,18.25,32.48,21.74,90.22,5.73,107.62,pomegranate
23.25,20.49,28.24,30.74,44.28,5.41,125.14,mango
147.58,40.08,57.74,25.5,74.86,6.99,94.88,cotton
25.97,42.26,15.56,29.72,94.91,7.35,53.4,mungbean
18.86,73.18,20.51,24.17,41.11,5.45,163.74,pigeonpeas
42.19,65.59,65.18,17.02,15.69,7.24,68.73,chickpea
27.75,137.71,184.07,23.37,94.68,5.58,84.16,apple
114.86,36.8,37.76,24.68,53.49,6.41,125.95,coffee
17.67,58.13,21.15,25.96,46.18,6.3,114.15,pigeonpeas
98.76,48.47,35.91,25.7,75.26,6.57,146.77,jute
91.31,64.6,48.52,23.66,84.24,6.98,232.61,jute
82.84,48.41,39.36,26.99,76.63,7.69,197.89,jute
42.33,51.54,37.22,31.74,88.04,6.75,123.31,papaya
19.23,63.06,14.1,27.08,55.93,7.33,44.02,lentil
31.12,133.9,214.99,20.01,79.5,5.25,84.05,grapes
84.14,32.08,22.94,23.54,77.94,6.29,175.52,rice
20.55,17.52,7.76,25.67,94.32,6.64,147.66,orange
16.17,50.95,19.11,23.61,92.21,6.75,35.71,mungbean
26.6,32.16,25.87,29.37,48.74,5.28,75.77,mango
18.64,66.84,16.72,21.38,27.74,5.61,114.7,kidneybeans
11.86,128.32,193.74,26.3,88.49,6.38,45.69,grapes
24.0,48.43,20.13,28.84,89.2,6.71,35.27,mungbean
21.32,16.17,10.81,23.36,91.71,6.59,95.39,orange
30.32,77.9,10.52,29.84,54.62,5.38,139.9,pigeonpeas
102.24,90.65,47.07,27.1,85.91,5.09,116.79,banana
68.44,37.65,31.42,24.43,91.99,5.91,166.5,rice
19.69,71.92,12.74,26.1,58.06,5.57,175.09,pigeonpeas
14.4,17.04,23.51,26.17,88.9,6.23,145.44,pomegranate
107.32,23.99,32.88,24.22,56.55,7.13,181.44,coffee
103.92,18.37,44.4,23.58,93.68,6.14,31.89,muskmelon
27.27,53.79,21.12,28.37,67.81,7.41,48.94,blackgram
44.43,76.15,45.2,28.69,89.67,6.88,162.6,papaya
49.07,60.88,44.5,32.82,95.55,6.03,142.84,papaya
13.59,20.07,41.53,24.2,93.76,6.54,124.21,pomegranate
16.14,80.26,16.58,18.63,28.15,5.88,93.96,kidneybeans
48.2,61.73,70.9,11.53,15.93,7.07,48.98,chickpea
24.77,38.39,13.75,25.5,90.33,6.8,55.58,mungbean
18.35,45.44,11.02,30.19,89.33,6.9,34.94,mungbean
21.98,18.02,33.54,32.26,57.47,6.65,61.15,mango
24.36,68.49,25.75,26.91,40.57,6.39,137.89,pigeonpeas
91.98,20.2,38.53,25.32,89.63,6.77,37.33,muskmelon
28.89,34.48,29.05,28.58,58.02,5.78,60.47,mango
21.37,42.78,18.65,26.98,55.46,7.03,19.5,mothbeans
12.26,64.88,17.69,23.05,55.36,5.89,171.19,pigeonpeas
93.46,15.96,57.89,25.99,88.63,7.0,25.76,muskmelon
81.73,52.63,41.28,22.76,83.43,7.15,208.78,rice
18.04,19.92,34.28,27.21,87.1,6.78,104.28,pomegranate
93.68,13.16,46.77,29.24,98.86,5.81,12.12,muskmelon
22.4,69.56,25.1,25.9,49.25,5.98,170.12,pigeonpeas
21.9,128.77,213.2,23.03,94.35,5.86,123.49,apple
21.9,67.0,20.51,32.21,92.03,6.85,33.16,mungbean
82.03,31.93,45.65,24.33,83.93,6.78,211.86,rice
26.64,80.46,25.67,18.12,22.81,5.98,68.81,kidneybeans
21.01,123.41,203.37,24.87,92.95,5.58,110.03,apple
80.9,41.83,60.14,26.75,77.73,6.36,141.46,rice
14.42,39.9,28.68,32.19,47.99,5.66,85.89,mango
34.3,64.72,44.6,32.45,84.92,6.34,105.44,papaya
13.89,37.96,20.22,25.89,57.53,7.04,67.49,mothbeans
128.64,40.73,61.4,24.39,69.04,7.05,68.04,cotton
17.96,15.73,50.24,23.4,91.58,5.84,117.29,pomegranate
18.13,70.88,22.61,28.78,57.54,6.4,120.97,pigeonpeas
40.02,60.88,49.86,34.49,96.27,6.88,164.51,papaya
12.42,61.71,16.35,27.41,64.8,6.71,60.72,lentil
52.16,26.99,38.11,22.03,69.83,6.44,90.39,maize
38.32,71.12,91.21,18.54,13.35,7.63,98.42,chickpea
88.15,22.22,47.49,26.49,91.32,6.83,30.4,muskmelon
108.37,34.6,33.35,26.66,75.09,6.7,118.88,cotton
18.24,68.99,24.23,20.64,27.04,5.76,98.36,kidneybeans
43.68,75.91,80.32,14.14,11.56,6.73,44.65,chickpea
13.13,40.94,25.41,29.15,88.26,6.6,38.11,mungbean
87.93,27.76,30.07,28.13,59.37,6.81,161.2,coffee
96.77,24.61,21.92,25.05,60.88,6.74,158.73,coffee
22.33,9.94,6.64,23.21,82.92,6.88,102.72,orange
95.17,17.58,42.81,24.13,83.4,6.0,55.65,watermelon
22.63,11.69,10.39,20.05,91.06,6.54,108.44,orange
22.7,143.62,183.46,27.61,75.3,5.86,52.9,grapes
101.12,33.09,36.53,24.03,57.77,6.76,139.94,coffee
21.62,82.03,16.66,26.85,51.56,5.99,133.98,pigeonpeas
12.25,26.04,27.56,33.34,42.82,5.57,77.03,mango
21.03,141.2,191.45,24.07,86.18,5.62,88.83,apple
15.12,31.29,26.22,25.5,53.89,5.39,104.34,mango
16.82,15.91,37.67,17.09,97.02,5.29,103.99,pomegranate
100.08,22.42,27.66,28.5,49.67,6.51,187.58,coffee
17.31,60.35,21.98,27.61,54.36,6.3,183.22,pigeonpeas
103.09,22.47,28.37,25.31,54.65,6.8,106.5,coffee
33.22,119.13,200.45,23.55,82.48,6.08,90.52,grapes
108.57,58.5,48.61,22.91,75.68,7.45,87.51,cotton
25.37,14.11,50.36,22.58,91.65,5.85,125.52,pomegranate
42.98,55.72,56.95,35.18,88.29,6.49,130.69,papaya
18.06,129.22,183.76,19.23,90.29,4.83,108.33,apple
42.82,62.19,21.95,31.45,61.39,6.9,34.62,blackgram
21.85,72.35,16.65,27.1,45.26,5.79,115.25,pigeonpeas
98.09,17.1,58.01,23.49,76.47,6.63,26.48,watermelon
55.84,49.19,54.05,31.64,92.97,6.47,128.82,papaya
42.71,86.42,19.51,32.92,61.56,7.08,77.29,blackgram
26.42,128.32,204.4,24.38,85.01,6.24,23.1,grapes
20.43,78.02,18.52,24.95,63.88,6.64,52.27,lentil
77.03,40.53,34.42,24.98,76.11,6.89,192.37,rice
89.26,37.54,36.96,24.18,55.63,6.43,131.71,coffee
58.59,58.9,50.84,29.57,89.14,7.06,144.52,papaya
35.18,59.26,68.42,23.17,18.09,7.45,73.82,chickpea
95.09,26.03,28.49,24.02,55.93,7.28,122.57,coffee
69.84,44.61,34.61,24.6,79.41,7.44,167.22,jute
20.72,47.72,20.37,32.77,52.6,6.74,51.39,mothbeans
12.99,16.43,28.82,17.96,96.8,5.93,156.27,pomegranate
57.72,59.81,66.28,33.64,91.61,6.93,134.57,papaya
15.48,66.39,17.74,24.72,46.35,5.81,128.84,pigeonpeas
19.82,128.62,175.06,19.97,97.56,5.65,110.93,apple
18.03,54.05,20.57,22.16,17.21,6.06,111.63,kidneybeans
20.23,16.59,6.61,24.87,92.83,6.98,84.58,orange
17.64,44.68,16.06,26.48,42.75,7.15,93.0,mothbeans
89.16,29.39,40.25,22.03,80.36,7.0,221.52,rice
14.64,39.42,20.97,32.69,87.97,6.55,59.49,mungbean
120.7,23.71,54.95,25.71,75.69,6.56,44.41,watermelon
21.79,18.82,46.82,19.32,90.54,5.68,118.95,pomegranate
24.73,19.17,30.63,28.75,91.75,6.15,205.47,coconut
22.72,20.58,33.11,29.17,91.56,5.72,168.92,coconut
82.08,42.41,50.72,22.78,81.58,6.99,165.6,jute
12.78,15.03,40.14,18.64,90.48,5.52,67.48,pomegranate
8.14,62.71,15.49,23.15,15.19,5.22,127.2,kidneybeans
9.3,40.61,27.14,24.8,44.79,7.62,41.45,mothbeans
94.18,44.99,49.32,21.82,93.44,6.55,196.22,jute
16.49,60.81,17.8,22.65,24.65,5.81,95.78,kidneybeans
68.87,44.64,44.2,20.01,85.5,7.53,206.88,rice
17.56,80.6,21.3,30.05,66.06,7.88,48.13,lentil
44.49,63.58,52.22,33.73,87.76,6.68,138.5,papaya
22.85,16.62,45.29,21.23,83.82,6.34,112.65,pomegranate
24.56,11.67,11.48,21.42,93.79,6.45,87.84,orange
52.47,60.99,78.19,20.24,17.23,6.85,88.29,chickpea
88.22,45.51,45.33,23.68,81.23,7.1,184.96,jute
14.41,16.68,37.07,23.44,89.44,5.54,104.7,pomegranate
113.11,43.09,37.44,23.64,85.57,6.29,87.24,cotton
15.83,37.05,25.1,28.47,63.2,6.63,55.44,mothbeans
13.85,59.49,15.96,29.34,90.27,6.31,39.81,mungbean
25.66,149.59,193.26,23.82,75.73,5.93,43.2,grapes
21.43,40.7,17.34,33.31,86.48,6.22,50.71,mungbean
16.22,73.09,19.14,23.09,63.03,6.7,26.25,lentil
113.73,43.58,54.97,25.27,68.9,7.08,70.53,cotton
21.28,53.28,16.43,21.54,20.88,5.6,133.02,kidneybeans
23.73,24.04,24.42,32.23,55.67,6.17,99.3,mango
104.65,17.94,51.27,27.91,95.15,6.42,10.45,muskmelon
18.53,63.35,22.19,21.22,20.26,6.12,124.59,kidneybeans
13.12,20.53,13.19,25.7,93.59,5.94,85.11,orange
23.44,74.81,20.2,28.55,38.43,6.35,154.31,pigeonpeas
86.29,51.56,37.81,23.12,68.96,5.93,71.93,maize
92.11,45.04,40.94,23.71,80.67,6.43,172.64,jute
112.54,35.58,31.16,24.51,61.74,6.72,97.33,coffee
137.3,47.76,50.25,23.76,70.63,7.17,69.15,cotton
62.69,44.47,43.76,20.61,70.82,5.53,89.83,maize
18.96,64.71,23.52,21.92,73.91,6.77,46.25,lentil
23.75,73.98,16.53,16.77,19.87,6.16,94.16,kidneybeans
16.74,18.51,36.48,21.84,100.0,5.94,98.11,pomegranate
54.28,52.01,55.76,33.7,88.51,6.67,129.28,papaya
100.93,52.59,43.09,21.47,76.44,7.1,210.51,rice
17.58,71.37,25.49,28.48,54.45,5.54,182.41,pigeonpeas
97.25,19.61,57.52,27.83,91.04,6.71,22.44,muskmelon
20.93,53.82,16.69,26.34,95.88,6.46,39.47,mungbean
22.02,84.88,18.65,20.84,27.03,6.26,105.23,kidneybeans
75.08,42.71,39.6,23.83,52.87,6.63,90.51,maize
67.82,48.7,38.2,24.14,83.82,6.8,190.4,jute
25.17,57.54,21.66,20.49,26.34,6.02,57.45,kidneybeans
51.3,76.19,82.32,18.47,16.16,7.57,72.58,chickpea
128.19,49.19,40.32,20.15,88.13,6.48,105.89,cotton
18.29,52.0,25.88,29.73,57.28,7.14,49.52,mothbeans
26.67,145.72,214.58,22.08,88.51,6.57,130.13,apple
67.21,70.26,51.32,31.22,98.5,6.55,126.55,papaya
19.43,14.76,40.26,22.15,98.59,6.39,139.36,pomegranate
96.98,51.1,38.13,27.76,81.26,6.58,76.2,cotton
22.97,31.61,29.46,32.06,54.47,5.88,92.15,mango
25.13,148.4,225.3,21.27,80.25,5.37,97.36,grapes
11.81,32.39,25.63,33.18,45.6,5.58,101.9,mango
114.25,28.14,27.47,23.93,51.99,6.1,179.32,coffee
100.9,29.39,28.79,27.01,59.94,6.74,153.36,coffee
117.36,48.89,40.14,22.82,78.79,6.71,120.25,cotton
28.15,45.85,22.41,28.94,47.97,7.37,56.42,mothbeans
21.49,11.99,23.6,25.84,94.52,5.5,165.1,coconut
31.53,9.94,21.81,25.41,97.25,5.16,192.91,coconut
23.03,17.54,34.24,28.16,96.2,5.48,183.83,coconut
18.94,134.38,201.31,23.2,94.94,5.49,83.67,apple
20.31,8.43,7.67,21.87,93.15,7.75,121.44,orange
14.61,26.61,32.08,31.54,48.86,5.73,90.3,mango
21.24,27.47,29.02,30.41,47.44,5.89,103.22,mango
17.04,15.67,15.23,27.95,94.98,7.44,144.33,orange
88.15,99.79,42.34,29.29,80.59,5.83,104.1,banana
26.28,126.79,193.77,22.42,86.07,5.62,138.52,apple
21.52,135.59,183.06,24.65,75.35,5.97,48.97,grapes
43.03,59.44,15.17,31.85,76.62,7.29,54.54,blackgram
18.1,50.21,24.2,22.87,27.96,5.94,105.92,kidneybeans
25.1,113.97,200.48,27.28,90.37,5.28,75.37,grapes
96.86,52.83,53.91,23.67,86.5,6.89,109.79,cotton
15.78,76.84,7.99,25.04,74.72,7.48,50.68,lentil
89.77,83.63,31.01,25.85,84.81,5.95,107.36,banana
25.3,48.54,22.15,30.05,52.88,6.57,25.26,mothbeans
27.11,129.43,193.25,20.88,91.74,5.17,102.21,apple
66.12,50.15,44.17,22.87,75.36,6.75,146.05,jute
5.11,79.8,9.88,26.53,59.67,7.32,84.5,lentil
99.91,28.18,29.72,23.88,62.59,7.13,212.52,coffee
20.31,14.82,8.16,18.69,94.73,6.51,111.27,orange
14.03,56.13,26.66,28.11,68.6,6.54,67.74,lentil
40.37,77.83,22.31,28.25,62.12,7.3,58.64,blackgram
99.83,81.27,46.76,29.36,77.38,5.38,91.43,banana
20.75,71.63,30.93,20.55,23.94,5.37,79.26,kidneybeans
16.29,26.62,44.64,19.32,89.66,5.99,89.8,pomegranate
70.38,41.36,35.73,23.55,85.22,7.01,147.03,jute
49.89,58.22,49.84,33.41,89.23,6.63,172.6,papaya
9.25,67.34,19.04,24.51,67.27,7.0,42.83,lentil
15.86,9.33,26.19,28.18,90.15,5.18,147.73,coconut
24.9,69.25,16.51,18.27,15.41,5.92,97.91,kidneybeans
20.05,66.55,17.12,19.1,27.92,5.76,89.28,kidneybeans
18.79,53.28,35.38,28.12,48.41,6.43,59.28,mothbeans
50.95,59.78,47.12,32.83,88.86,6.7,144.45,papaya
28.97,60.05,85.28,19.49,17.41,6.85,95.34,chickpea
114.18,10.88,42.74,25.83,82.07,5.89,75.48,watermelon
16.38,20.06,37.84,33.24,49.36,5.24,68.87,mango
15.84,31.36,27.19,32.08,43.33,5.26,110.11,mango
83.97,42.28,38.65,23.74,75.35,7.1,132.87,maize
97.38,86.56,48.56,30.36,80.39,5.84,95.81,banana
84.68,33.13,42.95,21.08,86.39,6.48,192.61,rice
23.94,52.16,20.38,28.32,66.19,6.89,40.6,mothbeans
5.4,132.68,231.48,27.39,88.09,5.86,83.71,apple
27.96,64.16,7.8,21.01,19.2,5.82,103.27,kidneybeans
16.58,66.51,28.99,27.01,70.67,6.79,42.56,lentil
34.46,66.65,88.35,19.18,11.41,7.56,58.31,chickpea
19.72,67.04,25.7,22.41,20.68,5.71,118.29,kidneybeans
123.27,43.01,48.45,24.96,78.26,7.31,84.69,cotton
23.85,77.14,15.71,26.98,38.65,5.5,180.44,pigeonpeas
43.62,64.4,71.39,16.34,21.29,7.54,77.4,chickpea
48.2,66.69,75.35,11.17,19.56,7.25,59.75,chickpea
88.19,16.96,57.03,28.04,88.68,6.0,16.9,muskmelon
15.26,119.22,207.71,26.12,81.21,6.23,79.68,grapes
20.91,90.56,11.46,23.28,64.95,6.71,58.44,lentil
11.31,134.74,210.84,21.29,96.7,6.25,100.18,apple
28.33,45.13,16.83,29.96,76.82,6.38,62.72,mungbean
20.21,76.14,20.1,24.6,52.26,5.81,205.64,pigeonpeas
44.08,72.41,56.66,21.57,4.81,7.05,100.51,chickpea
128.76,39.14,49.83,22.08,79.66,6.58,77.15,cotton
33.8,63.05,74.75,16.3,21.4,7.55,114.2,chickpea
22.11,66.25,16.68,25.68,41.74,6.39,151.36,pigeonpeas
23.49,130.14,212.81,30.87,84.1,5.71,46.66,grapes
20.95,141.06,206.29,20.24,96.24,5.46,139.8,apple
15.75,58.38,18.5,17.57,23.34,5.82,114.62,kidneybeans
51.81,69.97,23.62,29.41,63.13,7.29,62.2,blackgram
46.94,51.51,18.71,29.14,65.2,6.9,70.06,blackgram
21.59,60.73,19.37,25.78,62.8,5.96,195.36,pigeonpeas
92.12,12.3,21.98,22.94,54.07,6.87,126.61,coffee
19.11,59.76,24.55,22.49,61.12,7.41,59.9,lentil
109.51,43.31,37.64,22.34,77.03,6.82,91.55,cotton
14.77,9.86,17.02,26.54,88.3,6.71,103.52,orange
20.44,15.73,31.54,26.21,97.73,6.44,99.3,pomegranate
19.16,18.04,9.05,23.8,93.12,7.05,165.33,orange
27.58,140.77,187.2,18.94,90.69,5.82,77.63,apple
21.68,44.86,18.75,28.54,45.72,7.07,90.4,mothbeans
105.77,31.3,29.96,25.78,52.23,6.33,155.97,coffee
22.59,78.06,16.14,24.66,70.56,6.44,46.15,lentil
72.52,45.21,37.6,25.24,67.55,6.09,129.84,maize
98.38,54.07,40.69,23.5,78.54,7.18,69.3,maize
10.09,26.05,36.08,19.66,83.89,5.46,119.09,pomegranate
106.0,19.2,64.61,26.5,85.52,6.08,17.96,muskmelon
75.83,34.38,50.24,20.65,67.83,6.48,145.91,maize
26.11,51.04,14.73,29.3,83.65,6.71,44.25,mungbean
82.84,39.55,36.25,25.69,78.72,6.42,115.32,jute
63.73,37.85,54.73,23.68,75.41,6.06,71.19,maize
17.98,84.11,29.47,19.02,62.87,6.49,57.86,lentil
44.95,58.71,80.26,18.44,15.12,7.47,64.39,chickpea
29.39,45.68,16.78,31.19,82.39,6.46,48.15,mungbean
25.29,13.01,33.46,25.62,93.79,5.58,175.09,coconut
20.27,21.22,26.85,23.32,98.03,5.29,169.13,coconut
123.37,38.19,45.18,28.27,87.68,6.69,68.18,cotton
21.43,51.69,25.19,18.91,27.65,5.76,109.09,kidneybeans
28.99,62.97,74.17,20.31,20.24,7.24,72.16,chickpea
28.27,50.63,19.81,26.63,49.64,7.04,71.07,mothbeans
103.16,23.25,34.82,27.02,59.99,6.56,145.25,coffee
54.26,73.0,20.54,29.87,62.26,7.13,81.46,blackgram
129.65,50.38,38.81,27.0,84.7,6.57,78.26,cotton
85.73,34.54,36.59,24.74,61.61,7.32,99.95,maize
21.23,41.52,30.13,29.26,57.36,7.38,41.21,mothbeans
20.57,70.47,19.69,25.36,63.24,6.8,66.49,lentil
25.25,73.75,27.4,19.62,13.78,5.72,121.23,kidneybeans
100.74,77.28,43.48,29.58,83.82,5.72,105.8,banana
85.15,18.23,46.13,25.42,85.27,6.69,49.83,watermelon
29.18,126.15,221.3,26.81,82.28,5.4,111.21,grapes
17.65,73.51,20.71,22.85,57.02,6.96,43.55,lentil
38.58,55.69,23.95,24.52,63.32,6.85,70.22,blackgram
77.95,32.4,37.29,24.68,73.36,6.72,209.51,rice
14.95,15.38,38.35,20.57,84.96,6.63,131.08,pomegranate
20.85,30.3,17.6,30.36,59.71,5.71,124.79,mango
17.35,13.56,37.04,24.72,96.88,5.82,182.34,coconut
121.69,42.99,45.79,20.09,81.41,7.41,78.82,cotton
22.42,40.76,22.48,26.62,56.61,6.63,66.17,mothbeans
18.61,52.33,17.23,30.6,86.74,7.22,43.57,mungbean
22.24,58.36,14.79,23.18,69.68,6.89,59.64,lentil
23.5,120.54,217.8,29.46,84.42,5.75,24.39,grapes
21.71,61.82,28.22,25.25,46.98,6.04,116.23,pigeonpeas
113.71,81.06,33.01,27.11,81.0,5.59,107.95,banana
85.55,28.16,59.76,23.21,63.72,6.49,64.75,maize
89.59,82.65,59.46,29.26,77.9,6.22,113.42,banana
96.46,22.12,50.0,28.26,85.85,6.76,22.4,muskmelon
16.49,124.19,167.91,26.82,83.84,5.99,30.58,grapes
17.49,64.91,17.49,25.63,60.16,7.2,71.6,lentil
90.83,17.62,46.7,26.74,75.32,6.53,40.45,watermelon
81.09,76.76,27.85,27.48,84.05,5.64,95.59,banana
20.68,121.51,222.25,20.26,94.73,6.24,93.9,apple
9.77,29.64,15.19,30.55,55.13,6.05,69.03,mango
22.01,40.94,25.53,27.71,73.72,7.01,45.29,mothbeans
97.47,96.21,53.51,28.87,69.18,5.97,113.21,banana
19.71,16.4,9.94,20.75,89.32,6.75,81.89,orange
21.24,22.28,13.17,23.29,93.4,6.27,115.84,orange
25.9,125.42,190.92,26.66,91.34,5.81,109.5,apple
69.76,45.1,48.87,24.35,81.36,7.14,158.32,jute
14.91,25.84,19.54,31.07,48.81,5.57,126.69,mango
64.66,46.91,37.37,22.88,76.74,6.33,252.0,rice
18.06,120.07,198.3,26.46,85.0,5.71,82.69,grapes
37.46,56.27,71.25,21.08,9.31,7.75,78.9,chickpea
59.24,49.58,53.16,32.03,93.14,6.39,100.16,papaya
86.7,43.01,48.83,21.97,69.91,5.68,99.7,maize
85.76,15.45,47.57,29.69,90.2,6.42,20.7,muskmelon
45.8,56.91,52.14,30.41,87.57,6.58,139.37,papaya
76.18,54.56,55.6,25.36,79.97,6.8,155.26,jute
69.28,45.1,40.31,19.97,79.34,7.09,128.4,maize
23.16,122.23,192.4,26.67,94.86,5.43,107.66,apple
20.09,63.01,24.45,28.95,56.86,6.35,181.44,pigeonpeas
103.72,28.41,23.05,20.7,55.76,7.02,148.13,coffee
22.45,128.19,197.23,25.26,95.74,5.21,145.69,apple
16.94,20.23,27.09,26.07,84.67,5.15,210.7,coconut
21.84,68.71,16.59,24.54,62.03,6.05,57.07,lentil
14.06,40.47,43.43,34.27,57.65,5.77,118.33,mango
79.36,13.41,60.56,32.12,92.94,6.24,22.78,muskmelon
72.61,45.39,45.68,24.0,74.66,7.16,186.98,jute
132.1,45.52,46.58,24.6,76.88,6.84,59.68,cotton
12.71,25.3,10.28,24.0,89.84,6.74,148.25,orange
8.25,15.77,41.13,22.25,89.29,5.82,130.11,pomegranate
28.49,70.36,20.95,30.55,63.03,7.43,44.59,blackgram
50.35,35.65,59.36,23.87,79.2,6.73,137.56,rice
19.78,57.25,27.18,25.62,53.97,7.56,48.28,mothbeans
99.37,17.34,57.87,27.63,92.71,6.86,10.28,muskmelon
108.35,6.11,51.33,27.4,94.35,6.79,71.22,watermelon
17.93,71.17,15.49,25.32,73.71,6.37,32.46,lentil
18.58,69.42,20.62,26.49,39.78,5.41,131.48,pigeonpeas
17.82,126.25,212.03,26.59,87.51,5.94,26.31,grapes
20.23,50.83,22.67,26.7,62.63,7.32,39.59,mothbeans
12.26,15.71,39.47,22.76,81.2,5.2,121.24,pomegranate
70.1,59.04,28.76,25.77,75.63,6.7,194.98,jute
80.72,17.44,38.2,26.39,83.76,7.24,63.86,watermelon
99.54,26.24,27.23,23.48,53.27,7.47,142.42,coffee
96.1,45.24,32.66,22.27,80.64,6.4,182.4,jute
26.48,134.73,196.69,15.98,90.51,5.95,147.91,apple
57.57,65.49,37.27,27.58,85.42,6.53,164.21,jute
26.72,14.89,5.14,25.51,89.98,7.13,126.83,orange
27.21,21.78,33.37,32.94,49.12,5.25,67.72,mango
22.54,71.82,18.13,24.24,22.94,5.06,84.95,kidneybeans
100.69,17.01,53.71,24.99,81.09,6.29,37.65,watermelon
19.46,71.43,21.15,29.39,49.45,5.93,181.88,pigeonpeas
113.76,54.14,44.01,24.68,71.82,7.16,86.17,cotton
23.17,12.86,9.64,22.56,96.22,6.76,98.5,orange
88.39,8.92,44.71,22.56,94.13,6.5,62.2,watermelon
106.33,15.01,46.97,26.94,96.52,6.39,38.72,muskmelon
100.28,42.69,51.95,24.52,72.91,7.85,58.43,cotton
23.17,71.84,26.24,25.63,15.16,5.5,92.68,kidneybeans
44.4,62.38,79.05,13.14,7.62,7.68,60.3,chickpea
36.17,59.51,13.06,26.7,64.59,6.51,52.99,blackgram
22.46,84.0,24.65,18.04,55.91,6.56,26.88,lentil
72.41,34.1,32.27,25.78,75.89,6.8,145.64,jute
10.99,22.07,40.81,21.57,97.21,5.78,90.85,pomegranate
99.4,15.21,44.59,30.16,83.58,6.42,20.31,muskmelon
17.96,26.41,31.59,27.93,92.15,5.57,205.77,coconut
100.34,84.08,43.69,28.8,76.89,5.65,94.15,banana
105.69,13.76,40.73,25.96,93.13,6.46,3.67,muskmelon
107.89,83.75,53.01,25.74,76.85,6.49,117.71,banana
91.83,39.98,50.25,23.35,58.32,6.69,117.46,maize
22.22,65.71,13.74,23.3,71.61,6.69,35.55,lentil
23.25,156.07,221.42,26.35,85.82,6.71,44.13,grapes
101.87,34.08,32.53,27.88,59.26,6.25,155.83,coffee
47.97,60.05,82.36,20.77,19.64,8.07,64.73,chickpea
20.78,53.08,23.51,30.26,82.31,6.71,43.18,mungbean
10.45,65.65,24.74,19.99,52.05,6.91,62.45,lentil
51.97,75.45,22.42,28.18,76.39,7.31,62.21,blackgram
108.51,81.94,45.66,28.49,79.16,5.53,141.96,banana
59.9,23.35,33.17,25.56,63.88,6.36,117.32,jute
17.45,25.66,15.47,30.4,50.55,5.64,130.12,mango
16.18,43.49,27.17,27.66,54.18,6.41,44.08,mothbeans
22.61,52.5,27.31,24.96,51.61,6.25,87.69,mothbeans
104.95,20.81,50.65,23.37,82.71,6.75,38.74,watermelon
32.3,62.9,18.53,28.45,69.0,7.24,51.68,blackgram
20.29,12.46,12.3,23.84,97.14,7.0,101.76,orange
97.25,23.44,49.18,26.29,96.76,6.66,41.82,watermelon
28.15,125.1,196.77,20.79,89.26,5.9,87.09,apple
26.37,128.92,204.56,17.19,92.53,5.32,104.49,apple
102.15,27.02,30.57,25.68,57.66,7.28,196.78,coffee
32.94,69.69,15.32,29.63,71.09,6.82,79.83,blackgram
105.42,23.17,47.42,27.67,79.78,6.07,60.03,watermelon
107.9,49.83,46.56,24.48,81.38,6.85,82.77,cotton
75.64,34.66,25.83,21.77,58.02,6.16,59.99,maize
38.5,65.12,19.05,31.59,75.88,7.33,80.05,blackgram
26.28,128.97,214.05,23.64,87.12,6.17,75.18,grapes
43.47,70.01,68.76,21.37,16.62,6.86,103.78,chickpea
25.03,126.88,204.47,27.0,83.03,5.35,73.66,grapes
22.92,26.15,35.87,26.42,91.91,4.66,207.06,coconut
113.86,86.0,49.14,28.24,80.37,5.92,111.76,banana
21.33,43.75,13.93,26.47,85.76,6.51,37.72,mungbean
23.0,45.43,20.36,32.24,59.02,7.23,59.64,mothbeans
113.12,45.98,33.82,26.49,84.37,7.22,105.48,cotton
17.07,71.71,19.56,18.06,18.17,6.38,101.87,kidneybeans
115.63,41.41,44.44,24.74,79.61,6.85,100.17,cotton
114.19,19.89,54.51,22.54,93.5,6.18,71.85,watermelon
24.48,10.94,38.95,28.42,92.85,5.43,207.31,coconut
5.35,132.57,200.27,26.08,88.55,5.92,84.69,grapes
21.38,139.53,200.62,23.08,86.68,6.02,103.28,apple
64.88,51.53,43.16,30.73,94.54,6.68,120.59,papaya
80.52,37.66,39.17,22.5,82.76,7.24,97.33,rice
104.3,13.19,43.29,25.74,79.16,6.79,50.83,watermelon
88.36,31.3,35.03,24.96,56.52,6.17,179.51,coffee
